,date,open,high,low,close,adj_close,volume,ticker,arima_1d,xgb_1d,lstm_1d,arima_5d,xgb_5d,lstm_5d,meta_pred_5d,meta_pred_1d,confidence_5d,confidence_1d,created_at
1490,12/5/2025,280.5400085,281.1400146,278.0499878,278.7799988,278.7799988,47244000,AAPL,-8.74e-06,0.00055355,0.001253906,-5.89e-06,0.010164692,0.00167278,0.002051865,0.000326225,0.860062451,0.864362179,07:25.4
2981,12/5/2025,230.3200073,231.2400055,228.5500031,229.5299988,229.5299988,33075500,AMZN,-0.000238555,0.000158806,-3.27e-05,-0.00092769,-6.56e-05,0.001053126,0.002865811,0.000552888,0.728540048,0.731205847,07:27.8
13418,12/5/2025,319.4899902,323.1600037,319.1700134,321.269989,321.269989,28823600,GOOGL,-8.23e-05,-0.004988159,0.00186935,-5.62e-05,-0.002203081,0.000594196,0.004308458,0.000728875,0.728348283,0.729848681,07:45.8
19382,12/5/2025,482.519989,483.3999939,478.8800049,483.1600037,483.1600037,22587400,MSFT,-0.001273395,1.34e-05,0.000527509,-0.001971511,-0.00301157,-0.004931285,0.002539524,0.000611715,0.594999607,0.864241866,07:51.6
