date,open,high,low,close,adj_close,volume,ticker,arima_1d,xgb_1d,lstm_1d,arima_5d,xgb_5d,lstm_5d,meta_pred_5d,meta_pred_1d,confidence_5d,confidence_1d,created_at
05-12-2025,280.5400085449219,281.1400146484375,278.04998779296875,278.7799987792969,278.7799987792969,47244000,AAPL,-8.74E-06,0.001239649,0.001691934,-5.89E-06,0.00494709,0.001202593,0.003053732,0.000605399,0.8615957589359584,0.8644380718913534,08:54.3
05-12-2025,228.92999267578125,229.25,225.0500030517578,226.0800018310547,226.0800018310547,3984700,ABBV,-0.00026271,0.000929715,0.002905057,-0.000452295,0.001941462,-0.001734984,0.003311712,0.000657333,0.7285538499772126,0.864145102,08:54.9
05-12-2025,125.66000366210938,126.0500030517578,124.63999938964844,125.08000183105467,125.08000183105467,4360600,ABT,-0.000210044,0.00090973,0.0022615,-0.000153349,0.005122161,0.000676744,0.003021026,0.000602607,0.8614924044348948,0.8642926855204769,08:55.5
05-12-2025,268.1000061035156,271,266.07000732421875,266.5899963378906,266.5899963378906,3785400,ACN,-0.000314523,-0.000242098,0.001691934,-0.000276325,-0.002268225,-0.014624163,0.003876877,0.000763919,0.5928279314853244,0.7309998892672382,08:56.1
05-12-2025,330.6000061035156,348.5899963378906,329.7099914550781,346.2600098,346.2600098,7644700,ADBE,-0.000851928,0.000170784,0.00559509,-0.000592734,-0.005652374,-0.008672229,0.003728986,0.000784847,0.5943200361292281,0.8633868697213694,08:57.0
05-12-2025,280.1199951171875,283.2399902,279.1400146484375,281.2900085449219,281.2900085449219,3834100,ADI,-0.003004371,-0.000556315,0.001691934,-0.002051971,0.0070393,-0.007069392,0.002581276,0.000596284,0.7264117605728135,0.730507001,08:57.7
05-12-2025,59.119998931884766,59.59000015258789,58.970001220703125,59.00999832,59.00999832,1925500,ADM,-0.000184914,0.000983928,0.00198742,-0.000199872,-0.002158044,-0.0131518,0.003660207,0.000724233,0.5931471091280038,0.8643539574125019,08:58.3
05-12-2025,117.87000274658205,118.12000274658205,116.83000183105467,117.54000091552734,117.54000091552734,3166400,AEP,2.4526796375878845e-05,-0.0007949,0.001691934,2.456250930693571e-05,-0.002262661,-0.001791639,0.004048096,0.000812965,0.7288219074228419,0.864280586,08:58.8
05-12-2025,108.94000244140624,109.45999908447266,108.5,109.27999877929688,109.27999877929688,2061500,AFL,-0.000219707,0.000301357,0.001691934,-0.000148361,0.001942107,-0.000894827,0.003438534,0.000692657,0.7287148422146346,0.8643942998843895,08:59.8
05-12-2025,76.51999664,77.27999877929688,76.44999694824219,77.02999877929688,77.02999877929688,4223000,AIG,-0.000154498,0.001434386,0.001691934,-0.000391733,0.003566,-0.007451782,0.003174419,0.000609414,0.7270462966912559,0.8643894955728169,09:00.7
05-12-2025,206.47000122070312,206.47000122070312,201.82000732421875,202.2700042724609,202.2700042724609,1575400,ALL,7.729558310098916e-05,0.000770958,0.001691934,0.000126996,0.007620745,-0.005369759,0.002886532,0.000544489,0.8599998128184563,0.9978002957601112,09:01.4
05-12-2025,269.7900085449219,273.5899963378906,267.3599853515625,268,268,5371800,AMAT,-0.000384551,0.00567525,0.001691934,-0.000272277,0.012107472,0.000676744,0.001560258,0.000317503,0.8598507779373559,0.863543372,09:02.1
05-12-2025,217.1699981689453,223.63999938964844,216.2400054931641,217.97000122070312,217.97000122070312,33251900,AMD,3.5754775231877645e-05,0.006348974,0.003537714,2.6933490529845727e-05,-0.003817266,0.034768663,0.002858862,0.000699981,0.854118535,0.9968428282827988,09:02.9
05-12-2025,340.3599853515625,340.8800048828125,328.6300048828125,329.8900146484375,329.8900146484375,2897700,AMGN,-0.000235061,-0.000528288,0.001691934,-0.000161884,0.003882463,-0.00493081,0.003406631,0.000665795,0.7275199168940654,0.7309721630086224,09:03.6
05-12-2025,230.32000732421875,231.2400054931641,228.5500030517578,229.52999877929688,229.52999877929688,33075500,AMZN,-0.000238555,-0.00103292,0.002902066,-0.000927689,-0.005539968,-0.005114604,0.004454703,0.000872518,0.5949426845558786,0.7306160377726063,09:04.4
05-12-2025,261.5199890136719,265.5199890136719,260.3299865722656,260.69000244140625,260.69000244140625,1315500,APD,0.00017232,7.47426602174528e-05,0.001691934,0.000149159,0.003541333,-0.007071236,0.003396131,0.00064856,0.8604447997039495,0.9977608125439962,09:05.3
05-12-2025,170.27999877929688,172.1300048828125,170.27999877929688,171.2899932861328,171.2899932861328,939100,ATO,0.000109853,-0.000462931,0.001691934,7.809863352847835e-05,-0.001833278,-0.005118673,0.003962848,0.000785048,0.7282437034247038,0.8643421732847285,09:06.2
05-12-2025,386.1700134277344,393.5299987792969,385.1499938964844,390.2399902,390.2399902,24709400,AVGO,-9.87E-05,-0.003841917,0.001691934,-7.16E-05,-0.013289922,-0.006308251,0.005529686,0.001129046,0.5932960429302327,0.7303139410952211,09:07.0
05-12-2025,128.3800048828125,130.27999877929688,128.07000732421875,129.5,129.5,1942700,AWK,4.652628852408469e-06,0.001170456,0.001691934,4.659810993734581e-06,0.003829412,-0.027833562,0.003109563,0.000555596,0.8556903803686666,0.9977783131095136,09:07.5
05-12-2025,369.4500122070313,374.8800048828125,369.05999755859375,370.3500061035156,370.3500061035156,1978700,AXP,-0.000186513,0.000557358,0.001691934,-0.000127023,-0.00211581,-0.003872016,0.003749677,0.000763818,0.59521738,0.864411524,09:08.7
