ticker_a,ticker_b,correlation
GOOGL,MSFT,0.939194337039473
AAPL,MSFT,0.92848629168230512
AAPL,GOOGL,0.90807341931985375
AMZN,GOOGL,0.80497462059661884
AMZN,MSFT,0.76247569194918718
AAPL,AMZN,0.68384316040983661
