date,ticker,close,peak,drawdown
2022-12-28,AMZN,81.819999694824219,186.57049560546875,-0.56145263253282629
2022-12-28,AMZN,81.819999694824219,186.57049560546875,-0.56145263253282629
2022-12-28,AMZN,81.819999694824219,186.57049560546875,-0.56145263253282629
2022-12-28,AMZN,81.819999694824219,186.57049560546875,-0.56145263253282629
2022-12-28,AMZN,81.819999694824219,186.57049560546875,-0.56145263253282629
2022-12-27,AMZN,83.040000915527344,186.57049560546875,-0.55491354275475657
2022-12-27,AMZN,83.040000915527344,186.57049560546875,-0.55491354275475657
2022-12-27,AMZN,83.040000915527344,186.57049560546875,-0.55491354275475657
2022-12-27,AMZN,83.040000915527344,186.57049560546875,-0.55491354275475657
2022-12-27,AMZN,83.040000915527344,186.57049560546875,-0.55491354275475657
2023-01-05,AMZN,83.120002746582031,186.57049560546875,-0.55448474059718578
2023-01-05,AMZN,83.120002746582031,186.57049560546875,-0.55448474059718578
2023-01-05,AMZN,83.120002746582031,186.57049560546875,-0.55448474059718578
2023-01-05,AMZN,83.120002746582031,186.57049560546875,-0.55448474059718578
2023-01-05,AMZN,83.120002746582031,186.57049560546875,-0.55448474059718578
2022-12-22,AMZN,83.790000915527344,186.57049560546875,-0.550893614536385
2022-12-22,AMZN,83.790000915527344,186.57049560546875,-0.550893614536385
2022-12-22,AMZN,83.790000915527344,186.57049560546875,-0.550893614536385
2022-12-22,AMZN,83.790000915527344,186.57049560546875,-0.550893614536385
2022-12-22,AMZN,83.790000915527344,186.57049560546875,-0.550893614536385
